dataset_type,model,accuracy,precision,recall,f1
tabular_csv,KNN,0.5,0.521130101168955,0.5,0.5053550007497375
tabular_csv,Decision Tree,0.83,0.8318831447022742,0.83,0.830168476083014
tabular_csv,Naive Bayes,0.81,0.8113261105197412,0.81,0.8104578013732255
image_data,KNN,0.3527777777777778,0.4679638183504162,0.3527777777777778,0.3121141250491188
image_data,Decision Tree,0.3138888888888889,0.31313786727752185,0.3138888888888889,0.31209134471538
image_data,Naive Bayes,0.375,0.35260626383879695,0.375,0.3420162069410942
